sim/none/none                                      Do nothing.
sim/starters/engage_starter_3                      Engage starter #3.
sim/starters/engage_starter_4                      Engage starter #4.
sim/starters/engage_starter_5                      Engage starter #5.
sim/starters/engage_starter_6                      Engage starter #6.
sim/starters/engage_starter_7                      Engage starter #7.
sim/starters/engage_starter_8                      Engage starter #8.
sim/engines/throttle_down_1                        Throttle down a bit for engine #1.
sim/engines/throttle_down_2                        Throttle down a bit for engine #2.
sim/engines/throttle_down_3                        Throttle down a bit for engine #3.
sim/engines/throttle_down_4                        Throttle down a bit for engine #4.
sim/engines/throttle_down_5                        Throttle down a bit for engine #5.
sim/engines/throttle_down_6                        Throttle down a bit for engine #6.
sim/engines/throttle_down_7                        Throttle down a bit for engine #7.
sim/engines/throttle_down_8                        Throttle down a bit for engine #8.
sim/engines/throttle_up_1                          Throttle up a bit for engine #1.
sim/engines/throttle_up_2                          Throttle up a bit for engine #2.
sim/engines/throttle_up_3                          Throttle up a bit for engine #3.
sim/engines/throttle_up_4                          Throttle up a bit for engine #4.
sim/engines/throttle_up_5                          Throttle up a bit for engine #5.
sim/engines/throttle_up_6                          Throttle up a bit for engine #6.
sim/engines/throttle_up_7                          Throttle up a bit for engine #7.
sim/engines/throttle_up_8                          Throttle up a bit for engine #8.
sim/engines/prop_down_1                            Prop down a bit for engine #1.
sim/engines/prop_down_2                            Prop down a bit for engine #2.
sim/engines/prop_down_3                            Prop down a bit for engine #3.
sim/engines/prop_down_4                            Prop down a bit for engine #4.
sim/engines/prop_down_5                            Prop down a bit for engine #5.
sim/engines/prop_down_6                            Prop down a bit for engine #6.
sim/engines/prop_down_7                            Prop down a bit for engine #7.
sim/engines/prop_down_8                            Prop down a bit for engine #8.
sim/engines/prop_up_1                              Prop up a bit for engine #1.
sim/engines/prop_up_2                              Prop up a bit for engine #2.
sim/engines/prop_up_3                              Prop up a bit for engine #3.
sim/engines/prop_up_4                              Prop up a bit for engine #4.
sim/engines/prop_up_5                              Prop up a bit for engine #5.
sim/engines/prop_up_6                              Prop up a bit for engine #6.
sim/engines/prop_up_7                              Prop up a bit for engine #7.
sim/engines/prop_up_8                              Prop up a bit for engine #8.
sim/engines/mixture_down_1                         Mixture down a bit for engine #1.
sim/engines/mixture_down_2                         Mixture down a bit for engine #2.
sim/engines/mixture_down_3                         Mixture down a bit for engine #3.
sim/engines/mixture_down_4                         Mixture down a bit for engine #4.
sim/engines/mixture_down_5                         Mixture down a bit for engine #5.
sim/engines/mixture_down_6                         Mixture down a bit for engine #6.
sim/engines/mixture_down_7                         Mixture down a bit for engine #7.
sim/engines/mixture_down_8                         Mixture down a bit for engine #8.
sim/engines/mixture_up_1                           Mixture up a bit for engine #1.
sim/engines/mixture_up_2                           Mixture up a bit for engine #2.
sim/engines/mixture_up_3                           Mixture up a bit for engine #3.
sim/engines/mixture_up_4                           Mixture up a bit for engine #4.
sim/engines/mixture_up_5                           Mixture up a bit for engine #5.
sim/engines/mixture_up_6                           Mixture up a bit for engine #6.
sim/engines/mixture_up_7                           Mixture up a bit for engine #7.
sim/engines/mixture_up_8                           Mixture up a bit for engine #8.
sim/engines/beta_toggle_1                          Toggle beta prop #1.
sim/engines/beta_toggle_2                          Toggle beta prop #2.
sim/engines/beta_toggle_3                          Toggle beta prop #3.
sim/engines/beta_toggle_4                          Toggle beta prop #4.
sim/engines/beta_toggle_5                          Toggle beta prop #5.
sim/engines/beta_toggle_6                          Toggle beta prop #6.
sim/engines/beta_toggle_7                          Toggle beta prop #7.
sim/engines/beta_toggle_8                          Toggle beta prop #8.
sim/engines/thrust_reverse_toggle_1                Toggle thrust reversers #1.
sim/engines/thrust_reverse_toggle_2                Toggle thrust reversers #2.
sim/engines/thrust_reverse_toggle_3                Toggle thrust reversers #3.
sim/engines/thrust_reverse_toggle_4                Toggle thrust reversers #4.
sim/engines/thrust_reverse_toggle_5                Toggle thrust reversers #5.
sim/engines/thrust_reverse_toggle_6                Toggle thrust reversers #6.
sim/engines/thrust_reverse_toggle_7                Toggle thrust reversers #7.
sim/engines/thrust_reverse_toggle_8                Toggle thrust reversers #8.
sim/engines/thrust_reverse_hold_1                  Hold thrust reverse at max #1.
sim/engines/thrust_reverse_hold_2                  Hold thrust reverse at max #2.
sim/engines/thrust_reverse_hold_3                  Hold thrust reverse at max #3.
sim/engines/thrust_reverse_hold_4                  Hold thrust reverse at max #4.
sim/engines/thrust_reverse_hold_5                  Hold thrust reverse at max #5.
sim/engines/thrust_reverse_hold_6                  Hold thrust reverse at max #6.
sim/engines/thrust_reverse_hold_7                  Hold thrust reverse at max #7.
sim/engines/thrust_reverse_hold_8                  Hold thrust reverse at max #8.
sim/starters/shut_down_1                           Pull fuel and mags for shut-down #1.
sim/starters/shut_down_2                           Pull fuel and mags for shut-down #2.
sim/starters/shut_down_3                           Pull fuel and mags for shut-down #3.
sim/starters/shut_down_4                           Pull fuel and mags for shut-down #4.
sim/starters/shut_down_5                           Pull fuel and mags for shut-down #5.
sim/starters/shut_down_6                           Pull fuel and mags for shut-down #6.
sim/starters/shut_down_7                           Pull fuel and mags for shut-down #7.
sim/starters/shut_down_8                           Pull fuel and mags for shut-down #8.
sim/flight_controls/cowl_flaps_closed_1            Move cowl flaps #1 closed a bit.
sim/flight_controls/cowl_flaps_closed_2            Move cowl flaps #2 closed a bit.
sim/flight_controls/cowl_flaps_closed_3            Move cowl flaps #3 closed a bit.
sim/flight_controls/cowl_flaps_closed_4            Move cowl flaps #4 closed a bit.
sim/flight_controls/cowl_flaps_closed_5            Move cowl flaps #5 closed a bit.
sim/flight_controls/cowl_flaps_closed_6            Move cowl flaps #6 closed a bit.
sim/flight_controls/cowl_flaps_closed_7            Move cowl flaps #7 closed a bit.
sim/flight_controls/cowl_flaps_closed_8            Move cowl flaps #8 closed a bit.
sim/flight_controls/cowl_flaps_open_1              Move cowl flaps #1 open a bit.
sim/flight_controls/cowl_flaps_open_2              Move cowl flaps #2 open a bit.
sim/flight_controls/cowl_flaps_open_3              Move cowl flaps #3 open a bit.
sim/flight_controls/cowl_flaps_open_4              Move cowl flaps #4 open a bit.
sim/flight_controls/cowl_flaps_open_5              Move cowl flaps #5 open a bit.
sim/flight_controls/cowl_flaps_open_6              Move cowl flaps #6 open a bit.
sim/flight_controls/cowl_flaps_open_7              Move cowl flaps #7 open a bit.
sim/flight_controls/cowl_flaps_open_8              Move cowl flaps #8 open a bit.
sim/fadec/fadec_1_off                              FADEC #1 off.
sim/fadec/fadec_2_off                              FADEC #2 off.
sim/fadec/fadec_3_off                              FADEC #3 off.
sim/fadec/fadec_4_off                              FADEC #4 off.
sim/fadec/fadec_5_off                              FADEC #5 off.
sim/fadec/fadec_6_off                              FADEC #6 off.
sim/fadec/fadec_7_off                              FADEC #7 off.
sim/fadec/fadec_8_off                              FADEC #8 off.
sim/fadec/fadec_1_on                               FADEC #1 on.
sim/fadec/fadec_2_on                               FADEC #2 on.
sim/fadec/fadec_3_on                               FADEC #3 on.
sim/fadec/fadec_4_on                               FADEC #4 on.
sim/fadec/fadec_5_on                               FADEC #5 on.
sim/fadec/fadec_6_on                               FADEC #6 on.
sim/fadec/fadec_7_on                               FADEC #7 on.
sim/fadec/fadec_8_on                               FADEC #8 on.
sim/altair/alternate_air_off_1                     Alternate air #1 off.
sim/altair/alternate_air_off_2                     Alternate air #2 off.
sim/altair/alternate_air_off_3                     Alternate air #3 off.
sim/altair/alternate_air_off_4                     Alternate air #4 off.
sim/altair/alternate_air_off_5                     Alternate air #5 off.
sim/altair/alternate_air_off_6                     Alternate air #6 off.
sim/altair/alternate_air_off_7                     Alternate air #7 off.
sim/altair/alternate_air_off_8                     Alternate air #8 off.
sim/altair/alternate_air_on_1                      Alternate air #1 on.
sim/altair/alternate_air_on_2                      Alternate air #2 on.
sim/altair/alternate_air_on_3                      Alternate air #3 on.
sim/altair/alternate_air_on_4                      Alternate air #4 on.
sim/altair/alternate_air_on_5                      Alternate air #5 on.
sim/altair/alternate_air_on_6                      Alternate air #6 on.
sim/altair/alternate_air_on_7                      Alternate air #7 on.
sim/altair/alternate_air_on_8                      Alternate air #8 on.
sim/altair/alternate_air_backup_off_1              Alternate air backup #1 off.
sim/altair/alternate_air_backup_off_2              Alternate air backup #2 off.
sim/altair/alternate_air_backup_off_3              Alternate air backup #3 off.
sim/altair/alternate_air_backup_off_4              Alternate air backup #4 off.
sim/altair/alternate_air_backup_off_5              Alternate air backup #5 off.
sim/altair/alternate_air_backup_off_6              Alternate air backup #6 off.
sim/altair/alternate_air_backup_off_7              Alternate air backup #7 off.
sim/altair/alternate_air_backup_off_8              Alternate air backup #8 off.
sim/altair/alternate_air_backup_on_1               Alternate air backup #1 on.
sim/altair/alternate_air_backup_on_2               Alternate air backup #2 on.
sim/altair/alternate_air_backup_on_3               Alternate air backup #3 on.
sim/altair/alternate_air_backup_on_4               Alternate air backup #4 on.
sim/altair/alternate_air_backup_on_5               Alternate air backup #5 on.
sim/altair/alternate_air_backup_on_6               Alternate air backup #6 on.
sim/altair/alternate_air_backup_on_7               Alternate air backup #7 on.
sim/altair/alternate_air_backup_on_8               Alternate air backup #8 on.
sim/engines/fire_ext_1_off                         Fire extinguisher #1 off.
sim/engines/fire_ext_2_off                         Fire extinguisher #2 off.
sim/engines/fire_ext_3_off                         Fire extinguisher #3 off.
sim/engines/fire_ext_4_off                         Fire extinguisher #4 off.
sim/engines/fire_ext_5_off                         Fire extinguisher #5 off.
sim/engines/fire_ext_6_off                         Fire extinguisher #6 off.
sim/engines/fire_ext_7_off                         Fire extinguisher #7 off.
sim/engines/fire_ext_8_off                         Fire extinguisher #8 off.
sim/engines/fire_ext_1_on                          Fire extinguisher #1 on.
sim/engines/fire_ext_2_on                          Fire extinguisher #2 on.
sim/engines/fire_ext_3_on                          Fire extinguisher #3 on.
sim/engines/fire_ext_4_on                          Fire extinguisher #4 on.
sim/engines/fire_ext_5_on                          Fire extinguisher #5 on.
sim/engines/fire_ext_6_on                          Fire extinguisher #6 on.
sim/engines/fire_ext_7_on                          Fire extinguisher #7 on.
sim/engines/fire_ext_8_on                          Fire extinguisher #8 on.
sim/flight_controls/flaps_up                       Flaps up a notch.
sim/flight_controls/flaps_down                     Flaps down a notch.
sim/flight_controls/vector_sweep_aft               Vector or sweep aft.
sim/flight_controls/vector_sweep_forward           Vector or sweep forward.
sim/flight_controls/blimp_lift_down                Blimp lift down a bit.
sim/flight_controls/blimp_lift_up                  Blimp lift up a bit.
sim/flight_controls/speed_brakes_down_one          Speedbrakes extend one.
sim/flight_controls/speed_brakes_up_one            Speedbrakes retract one.
sim/flight_controls/speed_brakes_down_all          Speedbrakes extend full.
sim/flight_controls/speed_brakes_up_all            Speedbrakes retract full.
sim/flight_controls/speed_brakes_toggle            Speedbrakes toggle.
sim/flight_controls/landing_gear_down              Landing gear down.
sim/flight_controls/landing_gear_up                Landing gear up.
sim/flight_controls/landing_gear_toggle            Landing gear toggle.
sim/flight_controls/landing_gear_emer_on           Landing gear emergency override down.
sim/flight_controls/landing_gear_emer_off          Landing gear emergency override off.
sim/flight_controls/nwheel_steer_toggle            Nosewheel steer toggle.
sim/flight_controls/tail_wheel_lock_toggle         Toggle tailwheel lock.
sim/flight_controls/tail_wheel_lock_engage         Engage tailwheel lock.
sim/flight_controls/left_brake                     Hold brake left.
sim/flight_controls/right_brake                    Hold brake right.
sim/flight_controls/brakes_toggle_regular          Toggle brakes regular effort.
sim/flight_controls/brakes_toggle_max              Toggle brakes max effort.
sim/flight_controls/brakes_regular                 Hold brakes regular.
sim/flight_controls/brakes_max                     Hold brakes maximum.
sim/flight_controls/brakes_toggle_auto             Toggle auto-brakes.
sim/flight_controls/brakes_dn_auto                 Auto-brakes down.
sim/flight_controls/brakes_up_auto                 Auto-brakes up.
sim/systems/yaw_damper_on                          Yaw damper on.
sim/systems/yaw_damper_off                         Yaw damper off.
sim/systems/yaw_damper_toggle                      Toggle yaw damper.
sim/systems/prop_sync_on                           Prop sync on.
sim/systems/prop_sync_off                          Prop sync off.
sim/systems/prop_sync_toggle                       Prop sync toggle.
sim/systems/feather_mode_down                      Auto-feather mode down.
sim/systems/feather_mode_up                        Auto-feather mode up.
sim/systems/feather_mode_off                       Auto-feather off.
sim/systems/feather_mode_arm                       Auto-feather on.
sim/systems/feather_mode_test                      Auto-feather test.
sim/flight_controls/hydraulic_on                   Engine-driven hydraulic pumps on
sim/flight_controls/hydraulic_off                  Engine-driven hydraulic pumps off
sim/flight_controls/hydraulic_tog                  Engine-driven hydraulic pumps tog
sim/flight_controls/tailhook_down                  Tailhook down.
sim/flight_controls/tailhook_up                    Tailhook up.
sim/flight_controls/tailhook_toggle                Toggle the tailhook.
sim/flight_controls/canopy_open                    Canopy open.
