sim/none/none                                      Do nothing.
sim/GPS/g430n1_popout                              G430 NAV 1 pop out window.
sim/GPS/g430n1_popup                               G430 NAV 1 toggle popup.
sim/GPS/g430n1_cvol                                G430 NAV 1 COM audio.
sim/GPS/g430n1_vvol                                G430 NAV 1 NAV audio
sim/GPS/g430n2_coarse_down                         G430 COM/NAV 2 coarse down.
sim/GPS/g430n2_coarse_up                           G430 COM/NAV 2 coarse up.
sim/GPS/g430n2_fine_down                           G430 COM/NAV 2 fine down.
sim/GPS/g430n2_fine_up                             G430 COM/NAV 2 fine up.
sim/GPS/g430n2_chapter_up                          G430 NAV 2 chapter up.
sim/GPS/g430n2_chapter_dn                          G430 NAV 2 chapter dn.
sim/GPS/g430n2_page_up                             G430 NAV 2 page up.
sim/GPS/g430n2_page_dn                             G430 NAV 2 page dn.
sim/GPS/g430n2_zoom_in                             G430 NAV 2 zoom in.
sim/GPS/g430n2_zoom_out                            G430 NAV 2 zoom out.
sim/GPS/g430n2_nav_com_tog                         G430 NAV 2 NAV COM toggle.
sim/GPS/g430n2_cdi                                 G430 NAV 2 CDI.
sim/GPS/g430n2_obs                                 G430 NAV 2 OBS.
sim/GPS/g430n2_msg                                 G430 NAV 2 MSG.
sim/GPS/g430n2_fpl                                 G430 NAV 2 FPL.
sim/GPS/g430n2_proc                                G430 NAV 2 PROC.
sim/GPS/g430n2_vnav                                G430 NAV 2 VNAV.
sim/GPS/g430n2_direct                              G430 NAV 2 Direct.
sim/GPS/g430n2_menu                                G430 NAV 2 Menu.
sim/GPS/g430n2_clr                                 G430 NAV 2 CLR.
sim/GPS/g430n2_ent                                 G430 NAV 2 ENT.
sim/GPS/g430n2_com_ff                              G430 NAV 2 COM FF.
sim/GPS/g430n2_nav_ff                              G430 NAV 2 NAV FF.
sim/GPS/g430n2_cursor                              G430 NAV 2 push cursor.
sim/GPS/g430n2_popout                              G430 NAV 2 pop out window.
sim/GPS/g430n2_popup                               G430 NAV 2 toggle popup.
sim/GPS/g430n2_cvol                                G430 NAV 2 COM audio.
sim/GPS/g430n2_vvol                                G430 NAV 2 NAV audio.
sim/GPS/g1000n1_nvol                               G1000 pilot NAV audio.
sim/GPS/g1000n1_nav_ff                             G1000 pilot NAV flip flop.
sim/GPS/g1000n1_nav_outer_up                       G1000 pilot NAV outer ring tune up.
sim/GPS/g1000n1_nav_outer_down                     G1000 pilot NAV outer ring tune down.
sim/GPS/g1000n1_nav_inner_up                       G1000 pilot NAV inner ring tune up.
sim/GPS/g1000n1_nav_inner_down                     G1000 pilot NAV inner ring tune down.
sim/GPS/g1000n1_nav12                              G1000 pilot PFD NAV 1/2.
sim/GPS/g1000n1_hdg_up                             G1000 pilot HDG up.
sim/GPS/g1000n1_hdg_down                           G1000 pilot HDG down.
sim/GPS/g1000n1_hdg_sync                           G1000 pilot HDG sync.
sim/GPS/g1000n1_ap                                 G1000 pilot autopilot.
sim/GPS/g1000n1_fd                                 G1000 pilot flight director.
sim/GPS/g1000n1_yd                                 G1000 pilot yaw damper.
sim/GPS/g1000n1_hdg                                G1000 pilot AP HDG.
sim/GPS/g1000n1_alt                                G1000 pilot AP ALT.
sim/GPS/g1000n1_nav                                G1000 pilot AP NAV.
sim/GPS/g1000n1_vnv                                G1000 pilot AP NVAV.
sim/GPS/g1000n1_apr                                G1000 pilot AP approach.
sim/GPS/g1000n1_bc                                 G1000 pilot AP backcourse.
sim/GPS/g1000n1_vs                                 G1000 pilot AP vertical speed.
sim/GPS/g1000n1_flc                                G1000 pilot AP flight level change.
sim/GPS/g1000n1_nose_up                            G1000 pilot AP nose up.
sim/GPS/g1000n1_nose_down                          G1000 pilot AP nose down.
sim/GPS/g1000n1_alt_outer_up                       G1000 pilot altitude outer ring up.
sim/GPS/g1000n1_alt_outer_down                     G1000 pilot altitude outer ring down.
sim/GPS/g1000n1_alt_inner_up                       G1000 pilot altitude inner ring up.
sim/GPS/g1000n1_alt_inner_down                     G1000 pilot altitude inner ring down.
sim/GPS/g1000n1_softkey1                           G1000 pilot PFD Softkey 1.
sim/GPS/g1000n1_softkey2                           G1000 pilot PFD Softkey 2.
sim/GPS/g1000n1_softkey3                           G1000 pilot PFD Softkey 3.
sim/GPS/g1000n1_softkey4                           G1000 pilot PFD Softkey 4.
sim/GPS/g1000n1_softkey5                           G1000 pilot PFD Softkey 5.
sim/GPS/g1000n1_softkey6                           G1000 pilot PFD Softkey 6.
sim/GPS/g1000n1_softkey7                           G1000 pilot PFD Softkey 7.
sim/GPS/g1000n1_softkey8                           G1000 pilot PFD Softkey 8.
sim/GPS/g1000n1_softkey9                           G1000 pilot PFD Softkey 9.
sim/GPS/g1000n1_softkey10                          G1000 pilot PFD Softkey 10.
sim/GPS/g1000n1_softkey11                          G1000 pilot PFD Softkey 11.
sim/GPS/g1000n1_softkey12                          G1000 pilot PFD Softkey 12.
sim/GPS/g1000n1_cvol                               G1000 pilot com audio.
sim/GPS/g1000n1_com_ff                             G1000 pilot com flip flop.
sim/GPS/g1000n1_com_outer_up                       G1000 pilot com outer ring tune up.
sim/GPS/g1000n1_com_outer_down                     G1000 pilot com outer ring tune down.
sim/GPS/g1000n1_com_inner_up                       G1000 pilot com inner ring tune up.
sim/GPS/g1000n1_com_inner_down                     G1000 pilot com inner ring tune down.
sim/GPS/g1000n1_com12                              G1000 pilot PFD Com 1/2.
sim/GPS/g1000n1_crs_up                             G1000 pilot CRS up.
sim/GPS/g1000n1_crs_down                           G1000 pilot CRS down.
sim/GPS/g1000n1_crs_sync                           G1000 pilot CRS sync.
sim/GPS/g1000n1_baro_up                            G1000 pilot baro up.
sim/GPS/g1000n1_baro_down                          G1000 pilot baro down.
sim/GPS/g1000n1_range_up                           G1000 pilot range up.
sim/GPS/g1000n1_range_down                         G1000 pilot range down.
sim/GPS/g1000n1_pan_up                             G1000 pilot pan up.
sim/GPS/g1000n1_pan_down                           G1000 pilot pan down.
sim/GPS/g1000n1_pan_left                           G1000 pilot pan left.
sim/GPS/g1000n1_pan_right                          G1000 pilot pan right.
sim/GPS/g1000n1_pan_up_left                        G1000 pilot pan up left.
sim/GPS/g1000n1_pan_down_left                      G1000 pilot pan down left.
sim/GPS/g1000n1_pan_up_right                       G1000 pilot pan up right.
sim/GPS/g1000n1_pan_down_right                     G1000 pilot pan down right.
sim/GPS/g1000n1_pan_push                           G1000 pilot push pan.
sim/GPS/g1000n1_direct                             G1000 pilot -D->.
sim/GPS/g1000n1_menu                               G1000 pilot menu.
sim/GPS/g1000n1_fpl                                G1000 pilot FPL.
sim/GPS/g1000n1_proc                               G1000 pilot proc.
sim/GPS/g1000n1_clr                                G1000 pilot CLR.
sim/GPS/g1000n1_ent                                G1000 pilot ENT.
sim/GPS/g1000n1_fms_outer_up                       G1000 pilot FMS outer ring tune up.
sim/GPS/g1000n1_fms_outer_down                     G1000 pilot FMS outer ring tune down.
sim/GPS/g1000n1_fms_inner_up                       G1000 pilot FMS inner ring tune up.
sim/GPS/g1000n1_fms_inner_down                     G1000 pilot FMS inner ring tune down.
sim/GPS/g1000n1_cursor                             G1000 pilot FMS cursor.
sim/GPS/g1000n1_popout                             G1000 pilot pop out window.
sim/GPS/g1000n1_popup                              G1000 pilot popup.
sim/GPS/g1000n2_nvol                               G1000 copilot NAV audio.
sim/GPS/g1000n2_nav_ff                             G1000 copilot NAV flip flop.
sim/GPS/g1000n2_nav_outer_up                       G1000 copilot NAV outer ring tune up.
sim/GPS/g1000n2_nav_outer_down                     G1000 copilot NAV outer ring tune down.
sim/GPS/g1000n2_nav_inner_up                       G1000 copilot NAV inner ring tune up.
sim/GPS/g1000n2_nav_inner_down                     G1000 copilot NAV inner ring tune down.
sim/GPS/g1000n2_nav12                              G1000 copilot PFD NAV 1/2.
sim/GPS/g1000n2_hdg_up                             G1000 copilot HDG up.
sim/GPS/g1000n2_hdg_down                           G1000 copilot HDG down.
sim/GPS/g1000n2_hdg_sync                           G1000 copilot HDG sync.
sim/GPS/g1000n2_ap                                 G1000 copilot autopilot.
sim/GPS/g1000n2_fd                                 G1000 copilot flight director.
sim/GPS/g1000n2_yd                                 G1000 copilot yaw damper.
sim/GPS/g1000n2_hdg                                G1000 copilot AP HDG.
sim/GPS/g1000n2_alt                                G1000 copilot AP ALT.
sim/GPS/g1000n2_nav                                G1000 copilot AP NAV.
sim/GPS/g1000n2_vnv                                G1000 copilot AP VNAV.
sim/GPS/g1000n2_apr                                G1000 copilot AP approach.
sim/GPS/g1000n2_bc                                 G1000 copilot AP backcourse.
sim/GPS/g1000n2_vs                                 G1000 copilot AP vertical speed.
sim/GPS/g1000n2_flc                                G1000 copilot AP flight level change.
sim/GPS/g1000n2_nose_up                            G1000 copilot AP nose up.
sim/GPS/g1000n2_nose_down                          G1000 copilot AP nose down.
sim/GPS/g1000n2_alt_outer_up                       G1000 copilot altitude outer ring up.
sim/GPS/g1000n2_alt_outer_down                     G1000 copilot altitude outer ring down.
sim/GPS/g1000n2_alt_inner_up                       G1000 copilot altitude inner ring up.
sim/GPS/g1000n2_alt_inner_down                     G1000 copilot altitude inner ring down.
sim/GPS/g1000n2_softkey1                           G1000 copilot PFD Softkey 1.
sim/GPS/g1000n2_softkey2                           G1000 copilot PFD Softkey 2.
sim/GPS/g1000n2_softkey3                           G1000 copilot PFD Softkey 3.
sim/GPS/g1000n2_softkey4                           G1000 copilot PFD Softkey 4.
sim/GPS/g1000n2_softkey5                           G1000 copilot PFD Softkey 5.
sim/GPS/g1000n2_softkey6                           G1000 copilot PFD Softkey 6.
sim/GPS/g1000n2_softkey7                           G1000 copilot PFD Softkey 7.
sim/GPS/g1000n2_softkey8                           G1000 copilot PFD Softkey 8.
sim/GPS/g1000n2_softkey9                           G1000 copilot PFD Softkey 9.
sim/GPS/g1000n2_softkey10                          G1000 copilot PFD Softkey 10.
sim/GPS/g1000n2_softkey11                          G1000 copilot PFD Softkey 11.
sim/GPS/g1000n2_softkey12                          G1000 copilot PFD Softkey 12.
sim/GPS/g1000n2_cvol                               G1000 copilot COM audio.
sim/GPS/g1000n2_com_ff                             G1000 copilot COM flip flop.
sim/GPS/g1000n2_com_outer_up                       G1000 copilot COM outer ring tune up.
sim/GPS/g1000n2_com_outer_down                     G1000 copilot COM outer ring tune down.
sim/GPS/g1000n2_com_inner_up                       G1000 copilot COM inner ring tune up.
sim/GPS/g1000n2_com_inner_down                     G1000 copilot COM inner ring tune down.
sim/GPS/g1000n2_com12                              G1000 copilot PFD Com 1/2.
sim/GPS/g1000n2_crs_up                             G1000 copilot CRS up.
sim/GPS/g1000n2_crs_down                           G1000 copilot CRS down.
sim/GPS/g1000n2_crs_sync                           G1000 copilot CRS sync.
sim/GPS/g1000n2_baro_up                            G1000 copilot baro up.
sim/GPS/g1000n2_baro_down                          G1000 copilot baro down.
sim/GPS/g1000n2_range_up                           G1000 copilot range up.
sim/GPS/g1000n2_range_down                         G1000 copilot range down.
sim/GPS/g1000n2_pan_up                             G1000 copilot pan up.
sim/GPS/g1000n2_pan_down                           G1000 copilot pan down.
sim/GPS/g1000n2_pan_left                           G1000 copilot pan left.
sim/GPS/g1000n2_pan_right                          G1000 copilot pan right.
sim/GPS/g1000n2_pan_up_left                        G1000 copilot pan up left.
sim/GPS/g1000n2_pan_down_left                      G1000 copilot pan down left.
sim/GPS/g1000n2_pan_up_right                       G1000 copilot pan up right.
sim/GPS/g1000n2_pan_down_right                     G1000 copilot pan down right.
sim/GPS/g1000n2_pan_push                           G1000 copilot push pan.
sim/GPS/g1000n2_direct                             G1000 copilot -D->.
sim/GPS/g1000n2_menu                               G1000 copilot menu.
sim/GPS/g1000n2_fpl                                G1000 copilot FPL.
sim/GPS/g1000n2_proc                               G1000 copilot proc.
sim/GPS/g1000n2_clr                                G1000 copilot CLR.
sim/GPS/g1000n2_ent                                G1000 copilot ENT.
sim/GPS/g1000n2_fms_outer_up                       G1000 copilot FMS outer ring tune up.
sim/GPS/g1000n2_fms_outer_down                     G1000 copilot FMS outer ring tune down.
sim/GPS/g1000n2_fms_inner_up                       G1000 copilot FMS inner ring tune up.
sim/GPS/g1000n2_fms_inner_down                     G1000 copilot FMS inner ring tune down.
sim/GPS/g1000n2_cursor                             G1000 copilot FMS cursor.
sim/GPS/g1000n2_popout                             G1000 copilot pop out window.
sim/GPS/g1000n2_popup                              G1000 copilot popup.
sim/GPS/g1000n3_nvol                               G1000 MFD NAV audio.
sim/GPS/g1000n3_nav_ff                             G1000 MFD NAV flip flop.
sim/GPS/g1000n3_nav_outer_up                       G1000 MFD NAV outer ring tune up.
sim/GPS/g1000n3_nav_outer_down                     G1000 MFD NAV outer ring tune down.
sim/GPS/g1000n3_nav_inner_up                       G1000 MFD NAV inner ring tune up.
sim/GPS/g1000n3_nav_inner_down                     G1000 MFD NAV inner ring tune down.
sim/GPS/g1000n3_nav12                              G1000 MFD NAV 1/2.
sim/GPS/g1000n3_hdg_up                             G1000 MFD HDG up.
sim/GPS/g1000n3_hdg_down                           G1000 MFD HDG down.
sim/GPS/g1000n3_hdg_sync                           G1000 MFD HDG sync.
sim/GPS/g1000n3_ap                                 G1000 MFD autopilot.
sim/GPS/g1000n3_fd                                 G1000 MFD flight director.
sim/GPS/g1000n3_yd                                 G1000 MFD yaw damper.
sim/GPS/g1000n3_hdg                                G1000 MFD AP HDG.
sim/GPS/g1000n3_alt                                G1000 MFD AP ALT.
sim/GPS/g1000n3_nav                                G1000 MFD AP NAV.
sim/GPS/g1000n3_vnv                                G1000 MFD AP VNAV.
sim/GPS/g1000n3_apr                                G1000 MFD AP approach.
sim/GPS/g1000n3_bc                                 G1000 MFD AP backcourse.
sim/GPS/g1000n3_vs                                 G1000 MFD AP vertical speed.
sim/GPS/g1000n3_flc                                G1000 MFD AP flight level change.
sim/GPS/g1000n3_nose_up                            G1000 MFD AP nose up.
sim/GPS/g1000n3_nose_down                          G1000 MFD AP nose down.
sim/GPS/g1000n3_alt_outer_up                       G1000 MFD altitude outer ring up.
sim/GPS/g1000n3_alt_outer_down                     G1000 MFD altitude outer ring down.
sim/GPS/g1000n3_alt_inner_up                       G1000 MFD altitude inner ring up.
sim/GPS/g1000n3_alt_inner_down                     G1000 MFD altitude inner ring down.
sim/GPS/g1000n3_softkey1                           G1000 MFD Softkey 1.
sim/GPS/g1000n3_softkey2                           G1000 MFD Softkey 2.
sim/GPS/g1000n3_softkey3                           G1000 MFD Softkey 3.
sim/GPS/g1000n3_softkey4                           G1000 MFD Softkey 4.
sim/GPS/g1000n3_softkey5                           G1000 MFD Softkey 5.
sim/GPS/g1000n3_softkey6                           G1000 MFD Softkey 6.
sim/GPS/g1000n3_softkey7                           G1000 MFD Softkey 7.
sim/GPS/g1000n3_softkey8                           G1000 MFD Softkey 8.
sim/GPS/g1000n3_softkey9                           G1000 MFD Softkey 9.
sim/GPS/g1000n3_softkey10                          G1000 MFD Softkey 10.
sim/GPS/g1000n3_softkey11                          G1000 MFD Softkey 11.
sim/GPS/g1000n3_softkey12                          G1000 MFD Softkey 12.
sim/GPS/g1000n3_cvol                               G1000 MFD COM audio.
sim/GPS/g1000n3_com_ff                             G1000 MFD COM flip flop.
sim/GPS/g1000n3_com_outer_up                       G1000 MFD COM outer ring tune up.
sim/GPS/g1000n3_com_outer_down                     G1000 MFD COM outer ring tune down.
sim/GPS/g1000n3_com_inner_up                       G1000 MFD COM inner ring tune up.
sim/GPS/g1000n3_com_inner_down                     G1000 MFD COM inner ring tune down.
sim/GPS/g1000n3_com12                              G1000 MFD COM 1/2.
sim/GPS/g1000n3_crs_up                             G1000 MFD CRS up.
sim/GPS/g1000n3_crs_down                           G1000 MFD CRS down.
sim/GPS/g1000n3_crs_sync                           G1000 MFD CRS sync.
sim/GPS/g1000n3_baro_up                            G1000 MFD baro up.
sim/GPS/g1000n3_baro_down                          G1000 MFD baro down.
sim/GPS/g1000n3_range_up                           G1000 MFD range up.
sim/GPS/g1000n3_range_down                         G1000 MFD range down.
sim/GPS/g1000n3_pan_up                             G1000 MFD pan up.
sim/GPS/g1000n3_pan_down                           G1000 MFD pan down.
sim/GPS/g1000n3_pan_left                           G1000 MFD pan left.
sim/GPS/g1000n3_pan_right                          G1000 MFD pan right.
sim/GPS/g1000n3_pan_up_left                        G1000 MFD pan up left.
sim/GPS/g1000n3_pan_down_left                      G1000 MFD pan down left.
sim/GPS/g1000n3_pan_up_right                       G1000 MFD pan up right.
sim/GPS/g1000n3_pan_down_right                     G1000 MFD pan down right.
sim/GPS/g1000n3_pan_push                           G1000 MFD push pan.
sim/GPS/g1000n3_direct                             G1000 MFD -D->.
sim/GPS/g1000n3_menu                               G1000 MFD menu.
sim/GPS/g1000n3_fpl                                G1000 MFD FPL.
sim/GPS/g1000n3_proc                               G1000 MFD proc.
sim/GPS/g1000n3_clr                                G1000 MFD CLR.
sim/GPS/g1000n3_ent                                G1000 MFD ENT.
sim/GPS/g1000n3_fms_outer_up                       G1000 MFD FMS outer ring tune up.
sim/GPS/g1000n3_fms_outer_down                     G1000 MFD FMS outer ring tune down.
sim/GPS/g1000n3_fms_inner_up                       G1000 MFD FMS inner ring tune up.
sim/GPS/g1000n3_fms_inner_down                     G1000 MFD FMS inner ring tune down.
sim/GPS/g1000n3_cursor                             G1000 MFD FMS cursor.
sim/GPS/g1000n3_popout                             G1000 MFD pop out window.
sim/GPS/g1000n3_popup                              G1000 MFD popup.
sim/GPS/G1000_display_reversion                    G1000 red button for display reversion (backup display).
sim/systems/overspeed_test                         Prop overspeed test.
sim/fuel/indicate_aux                              Fuel tanks show auxiliary tanks.
sim/autopilot/test_auto_annunciators               Autopilot test annunciators.
sim/flight_controls/pitch_trim_up                  Pitch trim up.
sim/flight_controls/pitch_trim_down                Pitch trim down.
sim/flight_controls/aileron_trim_left              Roll trim left.
sim/flight_controls/aileron_trim_right             Roll trim right.
sim/flight_controls/rudder_trim_left               Yaw trim left.
sim/flight_controls/rudder_trim_right              Yaw trim right.
sim/flight_controls/gyro_rotor_trim_up             Gyro rotor trim up.
sim/flight_controls/gyro_rotor_trim_down           Gyro rotor trim down.
sim/flight_controls/rotor_rpm_trim_up              Rotor RPM trim up.
sim/flight_controls/rotor_rpm_trim_down            Rotor RPM trim down.
sim/flight_controls/magnetic_lock                  Controls magnetic lock.
sim/flight_controls/pitch_trim_takeoff             Pitch trim takeoff.
sim/flight_controls/aileron_trim_center            Aileron trim center.
sim/flight_controls/rudder_trim_center             Rudder trim center.
sim/flight_controls/rudder_lft                     Rudder left.
sim/flight_controls/rudder_ctr                     Rudder center.
sim/flight_controls/rudder_rgt                     Rudder right.
sim/autopilot/set_ott_seldisp_ALT_VVI_vvi          Let ott_seldisp_ALT_VVI show VVI.
sim/autopilot/set_ott_seldisp_ALT_VVI_alt          Let ott_seldisp_ALT_VVI show ALT.
sim/operation/ground_speed_change                  Sim 1x 2x 4x ground speed.
sim/operation/freeze_toggle                        Freeze the groundspeed of the simulation.
sim/instruments/timer_start_stop                   Start or stop the timer.
sim/instruments/timer_reset                        Reset the timer.
sim/instruments/timer_show_date                    Show date on the chrono.
sim/instruments/timer_mode                         Timer/clock mode for chronos.
sim/instruments/timer_cycle                        Timer start/stop/reset.
sim/operation/time_down                            Time: a little earlier.
sim/operation/time_up                              Time: a little later.
sim/operation/time_down_lots                       Time: a lot earlier.
sim/operation/time_up_lots                         Time: a lot later.
sim/operation/date_down                            Date: a little earlier.
sim/operation/date_up                              Date: a little later.
sim/instruments/timer_is_GMT                       Timer is GMT.
sim/operation/flightmodel_speed_change             Sim 1x 2x 4x sim speed.
sim/operation/pause_toggle                         Pause the simulation.
sim/operation/video_record_toggle                  Toggle AVI movie recording.
sim/operation/configure_video_recording            Configure AVI movie recording.
sim/replay/replay_toggle                           Toggle replay mode on/off.
sim/replay/replay_off                              Replay mode off.
sim/replay/replay_controls_toggle                  Replay mode: Toggle controls visibility.
sim/replay/rep_begin                               Replay mode: go to beginning.
sim/replay/rep_play_fr                             Replay mode: play fast reverse.
sim/replay/rep_play_rr                             Replay mode: play reverse.
sim/replay/rep_play_sr                             Replay mode: play slow reverse.
sim/replay/rep_pause                               Replay mode: pause.
sim/replay/rep_play_sf                             Replay mode: play slow forward.
sim/replay/rep_play_rf                             Replay mode: play forward.
sim/replay/rep_play_ff                             Replay mode: play fast forward.
sim/replay/rep_end                                 Replay mode: go to end.
sim/operation/toggle_logbook                       Toggle logbook window.
sim/operation/save_flight                          Toggle Save Flight window.
sim/operation/load_flight                          Toggle Load Flight window.
sim/operation/text_file_toggle                     Toggle text file.
sim/operation/checklist_toggle                     Toggle checklist.
sim/operation/checklist_next                       Next item in checklist.
sim/operation/checklist_previous                   Previous item in checklist.
sim/operation/contact_atc                          Contact ATC.
sim/operation/toggle_ai_flies                      Toggle AI flying your aircraft.
sim/operation/toggle_yoke                          Toggle yoke visibility.
sim/operation/reset_flight                         Reset flight to most recent start.
sim/operation/go_to_default                        Reset flight to nearest airport.
sim/operation/reset_to_runway                      Reset flight to nearest runway.
sim/operation/Grass_Field_Takeoff                  Grass field takeoff.
sim/operation/Dirt_Field_Takeoff                   Dirt field takeoff.
sim/operation/Gravel_Field_Takeoff                 Gravel field takeoff.
sim/operation/Water_Way_Takeoff                    Waterway takeoff.
sim/operation/Helipad_Takeoff                      Helipad takeoff.
sim/operation/Carrier_Catshot                      Carrier catshot.
sim/operation/Glider_Winch                         Glider winch start.
sim/operation/Glider_Tow                           Glider tow start.
sim/operation/Air_Drop_from_B_52                   Airdrop from B-52.
sim/operation/start_carried                        Other aircraft carries your own.
sim/operation/Piggyback_Shuttle_on_747             Piggyback Shuttle on 747.
sim/operation/carry_other_aircraft                 Carry another aircraft.
sim/operation/Formation_Flying                     Formation flying.
sim/operation/Air_Refuel_Boom                      Air refueling (boom).
sim/operation/Air_Refuel_Basket                    Air refueling (basket).
sim/operation/Aircraft_Carrier_Approach            Aircraft carrier approach.
sim/operation/Frigate_Approach                     Frigate approach.
sim/operation/Medium_Oil_Rig_Approach              Medium oil rig approach.
sim/operation/Large_Oil_Platform_Approach          Large oil platform approach.
sim/operation/Forest_Fire_Approach                 Forest fire approach.
sim/operation/Space_Shuttle_Full_Re_entry          Space Shuttle: Full re-entry.
sim/operation/Space_Shuttle_Final_Re_entry         Space Shuttle: Final re-entry.
sim/operation/Space_Shuttle_Full_Approach          Space Shuttle: Full approach.
sim/operation/Space_Shuttle_Final_Approach         Space Shuttle: Final approach.
sim/view/ai_controls_views                         Toggle AI controls your views.
sim/view/free_camera                               Free camera.
sim/view/default_view                              Default view.
sim/view/forward_with_2d_panel                     Forward with 2-D panel.
sim/view/forward_with_hud                          Forward with HUD.
sim/view/forward_with_nothing                      Forward with nothing.
sim/view/linear_spot                               Linear spot.
sim/view/still_spot                                Still spot.
sim/view/runway                                    Runway.
sim/view/circle                                    Circle.
sim/view/tower                                     Tower.
sim/view/ridealong                                 Ride-along.
sim/view/track_weapon                              Track weapon.
sim/view/chase                                     Chase.
sim/view/3d_cockpit_cmnd_look                      3-D cockpit.
sim/view/3d_cockpit_toggle                         Toggle between 2-D and 3-D cockpit.
sim/view/lock_geo                                  Lock onto current location.
sim/view/cinema_verite                             Cinema verite.
sim/view/sunglasses                                Sunglasses.
sim/view/night_vision                              Night vision.
sim/view/flashlight_red                            Toggle the red flashlight.
sim/view/flashlight_wht                            Toggle the white flashlight.
sim/view/glance_left                               Glance left.
sim/view/glance_right                              Glance right.
sim/view/up_left                                   Glance up and left.
sim/view/up_right                                  Glance up and right.
sim/view/straight_up                               Glance straight up.
sim/view/straight_down                             Glance straight down.
sim/view/left_45                                   Glance 45 degrees left.
sim/view/right_45                                  Glance 45 degrees right.
sim/view/left_90                                   Glance 90 degrees left.
sim/view/right_90                                  Glance 90 degrees right.
sim/view/left_135                                  Glance 135 degrees left.
sim/view/right_135                                 Glance 135 degrees right.
sim/view/back                                      Glance backward.
sim/view/3d_path_toggle                            3-D path toggle.
sim/view/3d_path_reset                             3-D path reset.
sim/view/show_physics_model                        Toggle physics model visualization.
sim/view/mouse_click_regions_toggle                Toggle visualization of clickable cockpit areas.
sim/view/instrument_descriptions_toggle            Toggle instrument descriptions on hover.
sim/view/quick_look_0                              Go to save 3-D cockpit location #1.
sim/view/quick_look_1                              Go to save 3-D cockpit location #2.
sim/view/quick_look_2                              Go to save 3-D cockpit location #3.
sim/view/quick_look_3                              Go to save 3-D cockpit location #4.
sim/view/quick_look_4                              Go to save 3-D cockpit location #5.
sim/view/quick_look_5                              Go to save 3-D cockpit location #6.
sim/view/quick_look_6                              Go to save 3-D cockpit location #7.
sim/view/quick_look_7                              Go to save 3-D cockpit location #8.
sim/view/quick_look_8                              Go to save 3-D cockpit location #9.
sim/view/quick_look_9                              Go to save 3-D cockpit location #10.
sim/view/quick_look_10                             Go to save 3-D cockpit location #11.
sim/view/quick_look_11                             Go to save 3-D cockpit location #12.
sim/view/quick_look_12                             Go to save 3-D cockpit location #13.
sim/view/quick_look_13                             Go to save 3-D cockpit location #14.
sim/view/quick_look_14                             Go to save 3-D cockpit location #15.
sim/view/quick_look_15                             Go to save 3-D cockpit location #16.
sim/view/quick_look_16                             Go to save 3-D cockpit location #17.
sim/view/quick_look_17                             Go to save 3-D cockpit location #18.
sim/view/quick_look_18                             Go to save 3-D cockpit location #19.
sim/view/quick_look_19                             Go to save 3-D cockpit location #20.
sim/view/quick_look_0_mem                          Memorize 3-D cockpit location #1.
sim/view/quick_look_1_mem                          Memorize 3-D cockpit location #2.
sim/view/quick_look_2_mem                          Memorize 3-D cockpit location #3.
sim/view/quick_look_3_mem                          Memorize 3-D cockpit location #4.
sim/view/quick_look_4_mem                          Memorize 3-D cockpit location #5.
sim/view/quick_look_5_mem                          Memorize 3-D cockpit location #6.
sim/view/quick_look_6_mem                          Memorize 3-D cockpit location #7.
sim/view/quick_look_7_mem                          Memorize 3-D cockpit location #8.
sim/view/quick_look_8_mem                          Memorize 3-D cockpit location #9.
sim/view/quick_look_9_mem                          Memorize 3-D cockpit location #10.
sim/view/quick_look_10_mem                         Memorize 3-D cockpit location #11.
sim/view/quick_look_11_mem                         Memorize 3-D cockpit location #12.
sim/view/quick_look_12_mem                         Memorize 3-D cockpit location #13.
sim/view/quick_look_13_mem                         Memorize 3-D cockpit location #14.
sim/view/quick_look_14_mem                         Memorize 3-D cockpit location #15.
sim/view/quick_look_15_mem                         Memorize 3-D cockpit location #16.
sim/view/quick_look_16_mem                         Memorize 3-D cockpit location #17.
sim/view/quick_look_17_mem                         Memorize 3-D cockpit location #18.
sim/view/quick_look_18_mem                         Memorize 3-D cockpit location #19.
sim/view/quick_look_19_mem                         Memorize 3-D cockpit location #20.
sim/general/left                                   Move view left.
sim/general/right                                  Move view right.
sim/general/up                                     Move view up.
sim/general/down                                   Move view down.
sim/general/forward                                Move view forward.
sim/general/backward                               Move view backward.
sim/general/zoom_in                                Zoom in.
sim/general/zoom_out                               Zoom out.
sim/general/hat_switch_left                        Hat switch left.
sim/general/hat_switch_right                       Hat switch right.
sim/general/hat_switch_up                          Hat switch up.
sim/general/hat_switch_down                        Hat switch down.
sim/general/hat_switch_up_left                     Hat switch up + left.
sim/general/hat_switch_up_right                    Hat switch up + right.
sim/general/hat_switch_down_left                   Hat switch down + left.
sim/general/hat_switch_down_right                  Hat switch down + right.
sim/general/left_fast                              Move view left fast.
sim/general/right_fast                             Move view right fast.
sim/general/up_fast                                Move view up fast.
sim/general/down_fast                              Move view down fast.
sim/general/forward_fast                           Move view forward fast.
sim/general/backward_fast                          Move view backward fast.
sim/general/zoom_in_fast                           Zoom in fast.
sim/general/zoom_out_fast                          Zoom out fast.
sim/general/left_slow                              Move view left slow.
sim/general/right_slow                             Move view right slow.
sim/general/up_slow                                Move view up slow.
sim/general/down_slow                              Move view down slow.
